Date,Account,daily_pnl,daily_volume,total_trades,winning_trades,losing_trades,long_trades,short_trades,avg_leverage,max_leverage,win_rate,long_short_ratio,Classification,Sentiment_Value
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8493.192736,370839.64,109,97,0,0,0,3.941073270570317,50.0,100.0,0.0,Extreme Greed,80
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1320.804256,24827.09,7,3,0,0,0,4.293519549981795,16.541137138137493,100.0,0.0,Extreme Greed,80
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409,472974.7,137,128,0,0,0,4.013594182552717,50.0,100.0,0.0,Extreme Greed,80
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,60253.79,24,21,0,0,0,3.3128752877709338,30.45552882451578,100.0,0.0,Extreme Greed,80
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,2943.77,7,0,7,0,0,1.0,1.0,0.0,0.0,Extreme Greed,80
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,390745.68,79,54,0,0,0,5.643040658156543,50.0,100.0,0.0,Extreme Greed,83
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,26773.771643,1574220.16,287,253,4,0,0,6.125806811262943,50.0,98.44357976653697,0.0,Extreme Greed,82
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1026.004099,3776.71,13,13,0,0,0,1.0,1.0,100.0,0.0,Extreme Greed,82
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,19791.026041,841810.32,180,163,0,0,0,5.375215427834944,50.0,100.0,0.0,Extreme Greed,90
2024-03-06,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6814.825139,327218.02,82,72,0,0,0,4.607959332097576,31.98884351100957,100.0,0.0,Extreme Greed,75
2024-03-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4271.886236,183583.18,67,59,0,0,0,3.4048894626873114,50.0,100.0,0.0,Extreme Greed,81
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9949.501624,658178.75,117,97,10,0,0,6.294545437650411,50.0,90.65420560747664,0.0,Extreme Greed,84
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2482.9272,219973.85,42,29,9,0,0,6.033636312066626,50.0,76.31578947368422,0.0,Extreme Greed,79
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3588.179495,176519.44999999998,42,39,0,0,0,4.984383480974355,50.0,100.0,0.0,Extreme Greed,82
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3039.166,103040.85,8,7,0,0,0,13.91680263930352,50.0,100.0,0.0,Extreme Greed,81
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,6000.799999999999,7,0,0,0,0,1.4984158445528521,3.2928723260849186,,0.0,Extreme Greed,81
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,65.480454,6066.28,1,1,0,0,0,6.659161094203561,6.659161094203561,100.0,0.0,Extreme Greed,88
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3400.385378,199866.9,17,15,0,0,0,12.630709149260625,50.0,100.0,0.0,Extreme Greed,88
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,338.42832,26339.81,8,1,0,0,0,3.684424067332357,11.352489375033741,100.0,0.0,Extreme Greed,83
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5509.2545,249644.77,35,32,0,0,0,7.683246241218044,50.0,100.0,0.0,Extreme Greed,83
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,388.830831,75909.83,19,8,0,0,0,4.6332187306863775,21.819041643193426,100.0,0.0,Extreme Greed,83
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,228.57984,27223.66,6,1,0,0,0,4.980722329385436,6.83150531369062,100.0,0.0,Extreme Greed,81
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,10000.0,2,0,0,0,0,5.495238030419516,9.990476060839033,,0.0,Extreme Greed,81
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,429.683075,87063.35,14,4,0,0,0,6.896631324444774,19.870080999587664,100.0,0.0,Extreme Greed,79
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,73.61088,4940.99,7,6,0,0,0,1.2503354517924516,2.7523481625471606,100.0,0.0,Extreme Greed,79
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,7502.61,2,0,0,0,0,4.117934600528049,5.491029538262385,,0.0,Extreme Greed,79
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,34001.9,12,0,0,0,0,3.149296528219002,6.584899397080634,,0.0,Extreme Greed,77
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1244.6384,51241.71,6,5,0,0,0,9.85767960719275,27.70434425988363,100.0,0.0,Extreme Greed,77
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,212.3193,5214.47,1,1,0,0,0,5.724100396106286,5.724100396106286,100.0,0.0,Extreme Greed,77
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,9067.51,4,0,0,0,0,2.6456779582501038,6.586227655077955,,0.0,Extreme Greed,79
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,842.799493,180988.91,10,5,0,0,0,18.15223259312404,50.0,100.0,0.0,Extreme Greed,79
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-174.00152,29828.420000000002,10,0,2,0,0,3.4503645135128798,10.938797384231872,0.0,0.0,Extreme Greed,79
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2593.147623,144362.44,59,56,0,0,0,3.0709666051417184,38.42195924421457,100.0,0.0,Greed,74
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3829.986976,71343.41,10,4,0,0,0,8.017635885184053,17.360858937244288,100.0,0.0,Greed,74
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,9744.18,1,0,0,0,0,10.696516539117294,10.696516539117294,,0.0,Extreme Greed,78
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2097.182,97908.18,23,22,0,0,0,4.771597260262411,50.0,100.0,0.0,Extreme Greed,78
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,238.326075,10243.210000000001,4,1,0,0,0,2.9298263736273356,5.752959819866254,100.0,0.0,Extreme Greed,78
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1297.018477,92592.20999999999,19,15,0,0,0,5.543726287937069,36.89082904814612,100.0,0.0,Greed,74
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1302.916428,57116.32,7,6,0,0,0,8.956931383415036,23.711304331789595,100.0,0.0,Extreme Greed,75
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20.599193,23986.34,7,1,0,0,0,3.761516875023871,6.586798476696638,100.0,0.0,Extreme Greed,81
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3195.3074,174578.85,111,109,0,0,0,2.1429807637980125,50.0,100.0,0.0,Extreme Greed,81
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,189.192,87066.1,27,12,0,0,0,3.764327626694626,16.491563476022616,100.0,0.0,Extreme Greed,83
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-38.78086,12798.689999999999,11,0,7,0,0,1.8796151177355498,6.9665265811868515,0.0,0.0,Extreme Greed,83
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,20013.89,3,0,0,0,0,7.63828761125349,16.47510844513019,,0.0,Extreme Greed,80
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,227.85100799999998,15309.83,10,9,0,0,0,1.9940495798094227,8.528129869821923,100.0,0.0,Extreme Greed,80
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.097404,86914.37,15,6,0,0,0,6.418800932107786,17.43003812649317,100.0,0.0,Extreme Greed,79
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1100.57514,101103.92,45,44,0,0,0,2.8247267240288716,50.0,100.0,0.0,Extreme Greed,75
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,912.786145,39912.96,13,10,0,0,0,3.7063602397140016,11.09844082270323,100.0,0.0,Extreme Greed,75
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,134989.44,29,2,0,0,0,5.261550283986776,20.58226878760559,100.0,0.0,Extreme Greed,79
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.122467,204481.03,48,40,1,0,0,4.879402983157685,50.0,97.5609756097561,0.0,Extreme Greed,79
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.760812,224664.62,37,12,0,0,0,5.9622008451174215,50.0,100.0,0.0,Extreme Greed,79
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,14999.89,4,0,0,0,0,4.530346414076631,10.632705268551797,,0.0,Extreme Greed,79
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,126.7884,6887.91,2,1,0,0,0,3.7805460918697826,3.850136931324446,100.0,0.0,Greed,71
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9999.66,2,0,0,0,0,5.979925960045114,10.959851920090228,,0.0,Greed,71
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,95987.73,32,0,0,0,0,3.570834036797792,13.721519843296276,,0.0,Greed,70
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4444.4983010000005,172531.56999999998,10,7,0,0,0,14.734889890705219,50.0,100.0,0.0,Extreme Greed,79
2024-04-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5296.433789,305295.15,82,75,0,0,0,4.338312008076662,50.0,100.0,0.0,Extreme Greed,79
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,965.5522159999999,25965.08,8,8,0,0,0,3.7458948046011695,10.916820751912569,100.0,0.0,Extreme Greed,79
2024-04-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,236.33513399999998,68223.67,16,4,0,0,0,4.925560442544822,13.72144300192453,100.0,0.0,Extreme Greed,75
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,49988.14,23,0,0,0,0,2.7500782970623256,11.132426663692526,,0.0,Extreme Greed,78
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,163166.37,28,0,0,0,0,6.598000490279307,24.698836709450447,,0.0,Extreme Greed,76
